INSEE_COM;LIB_COM;LIB_ACV
89024;Auxerre;Auxerre
89387;Sens;Sens
90010;Belfort;Belfort
91021;Arpajon;Arpajon
91174;Corbeil-Essonnes;Corbeil-Essonnes
91223;Étampes;Étampes
91228;Évry;Évry
91570;Saint-Michel-sur-Orge;Saint-Michel-sur-Orge
95052;Beaumont-sur-Oise;Beaumont-sur-Oise - Persan
95277;Gonesse;Gonesse
95487;Persan;Beaumont-sur-Oise - Persan
97101;Les Abymes;Les Abymes - Pointe-à-Pitre
97105;Basse-Terre;Basse-Terre
97120;Pointe-à-Pitre;Les Abymes - Pointe-à-Pitre
97209;Fort-de-France;Fort-de-France
97213;Le Lamentin;Le Lamentin
97302;Cayenne;Cayenne
97311;Saint-Laurent-du-Maroni;Saint-Laurent-du-Maroni
97407;Le Port;Le Port
97409;Saint-André;Saint-André
97412;Saint-Joseph;Saint-Joseph
97416;Saint-Pierre;Saint-Pierre
97607;Dembeni;Dembeni
97608;Dzaoudzi;Dzaoudzi - Pamandzi
97611;Mamoudzou;Mamoudzou
97615;Pamandzi;Dzaoudzi - Pamandzi
